epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.5132867650975906,0.7057149421614005,0.3819441802707719,0.7564781380257704
1,0.001,0.4068689397823663,0.751689096249293,0.3519732878531939,0.7673952098213966
2,0.001,0.382424467998277,0.7603944812070528,0.34953633447488147,0.7683836576223118
3,0.001,0.3642417822845679,0.7694368884430796,0.324801289372974,0.7766628199580435
4,0.001,0.3567538442925661,0.7724886007084009,0.31725444782663276,0.7809974408147047
5,0.001,0.34541254328111565,0.7783743484905782,0.3223537112827654,0.7787160469796262
6,0.001,0.3429148552839648,0.7793563760214414,0.3070567700965905,0.7833602420407795
7,0.001,0.33246797212847956,0.783908276567385,0.2965478856622437,0.7896231936016475
8,0.001,0.3219975442798049,0.7892361033299073,0.30186985543480627,0.7837668065835633
9,0.001,0.32230965823793606,0.7887724404745822,0.2906427208656146,0.7934909648219833
10,0.001,0.31745096587349847,0.791424216622572,0.29283773917474865,0.7925429715586366
11,0.001,0.3161173113334326,0.7921690815006189,0.2937246597843406,0.7935569307943512
12,0.001,0.3093651192791668,0.7954765527090304,0.28847956160704297,0.793593822196746
13,0.001,0.3070168631312288,0.7972413868015576,0.28778562998330154,0.7959262359078176
14,0.001,0.30295478696685757,0.7992051950476906,0.27929148574670154,0.7987416242800931
15,0.001,0.3020300938759321,0.799679687099762,0.2889887230631746,0.7972706874679518
16,0.001,0.29740519134841337,0.8019576998278226,0.2752956760886275,0.8026159511331281
17,0.001,0.294029661534745,0.8038728185314288,0.275151158924456,0.8039519285449779
18,0.001,0.287619859470752,0.8070672411220917,0.27182166646292183,0.8053687958335266
19,0.001,0.2870440146437398,0.8077976369557274,0.2691974420974284,0.8053678018588286
20,0.001,0.2866990546017517,0.8076495395026081,0.26837558621241725,0.8066077493450148
21,0.001,0.2818758301283597,0.8107935056921766,0.26981988586025474,0.8075038268603786
22,0.001,0.2800585119812577,0.8118017049092755,0.26742907898661533,0.8092979150803447
23,0.001,0.27555526001953784,0.8140357094000608,0.2671870909355305,0.8043685019530981
24,0.001,0.2803076758306213,0.8115562033985619,0.26054904729495815,0.8114586475890649
25,0.001,0.2723169294894968,0.8158875789944112,0.26121327759307106,0.8119673544726885
26,0.001,0.2704054239846061,0.8173534095792566,0.2618393450975418,0.811661815097374
27,0.001,0.2648237405858413,0.8204306934225172,0.26134871829439094,0.8084344797353226
28,0.001,0.2631660573521759,0.8211740624936382,0.2602830950492694,0.8133464860072488
29,0.001,0.2614370981852214,0.8222637479789979,0.25661803358866847,0.8121222037775497
30,0.001,0.2583541680633286,0.8242399066122856,0.2562041727848995,0.8125721727130684
31,0.001,0.25729756081791083,0.8247509850513416,0.25649525593092415,0.8130710100077961
32,0.001,0.2568145074226238,0.8254585747172792,0.2603693957682009,0.8082804587134037
33,0.001,0.25476663237736547,0.8264349122530942,0.25661349682896223,0.811893390082074
34,0.001,0.25013336404360864,0.8292784088259852,0.25796627152113266,0.8102147587618491
